dataset,metric,DMPNN_mean,DMPNN_std,MoE-GCN_mean,MoE-GCN_std,MoE-DMPNN_mean,MoE-DMPNN_std,AttentiveFP_mean,AttentiveFP_std,GROVER†_mean,GROVER†_std
BBBP,roc_auc,0.7494,0.0835,0.762,0.0305,0.6989,0.0999,0.908,0.05,0.94,0.019
BACE,roc_auc,0.9545,0.0134,0.893,0.0512,0.9375,0.0385,0.852,0.053,0.894,0.028
Tox21,roc_auc,0.7269,0.0054,0.7447,0.0048,0.7313,0.0067,0.7458,0.0049,0.831,0.025
ToxCast,roc_auc,0.6327,0.004,0.6474,0.0066,0.6431,0.0051,0.6746,0.0029,0.737,0.003
SIDER,roc_auc,0.5804,0.0094,0.5688,0.0048,0.559,0.0239,0.5937,0.0062,0.658,0.023
ClinTox,roc_auc,0.8353,0.0064,0.8147,0.0177,0.8143,0.0133,0.7294,0.1006,0.944,0.021
HIV,roc_auc,0.7401,0.0086,0.7364,0.0066,0.7413,0.0089,0.7152,0.0074,0.762,0.005
ESOL,rmse,1.3244,0.1721,1.0665,0.0329,1.1052,0.0484,1.0606,0.0295,0.983,0.09
FreeSolv,rmse,5.1034,1.5554,3.5906,0.3793,3.4324,0.4777,2.5729,0.1272,1.544,0.397
Lipo,rmse,0.7234,0.0085,0.7219,0.0061,0.7116,0.0095,0.6849,0.015,0.561,0.037
